,precision,recall,f1-score,support
Netoxický,0.8721311475409836,0.8321167883211679,0.8516542155816437,959.0
Toxický,0.6014851485148515,0.675,0.6361256544502617,360.0
accuracy,0.7892342683851402,0.7892342683851402,0.7892342683851402,0.7892342683851402
macro avg,0.7368081480279176,0.7535583941605839,0.7438899350159527,1319.0
weighted avg,0.7982626413625094,0.7892342683851402,0.792829134454049,1319.0
