,precision,recall,f1-score,support
Non-toxic,0.9574014909478168,0.9771739130434782,0.9671866594943518,1840.0
Toxic,0.6557377049180327,0.5,0.5673758865248227,160.0
accuracy,0.939,0.939,0.939,0.939
macro avg,0.8065695979329248,0.7385869565217391,0.7672812730095873,2000.0
weighted avg,0.9332683880654341,0.939,0.9352017976567895,2000.0
