,precision,recall,f1-score,support
Non-toxic,0.9479166666666666,0.9790486976217441,0.9632311977715878,1766.0
Toxic,0.7897727272727273,0.594017094017094,0.6780487804878049,234.0
accuracy,0.934,0.934,0.934,0.934
macro avg,0.868844696969697,0.7865328958194191,0.8206399891296964,2000.0
weighted avg,0.9294138257575757,0.934,0.9298648549493853,2000.0
